variable1,operator,variable2,result,difficulty_level
22,*,87,1914,advanced
63,*,61,3843,advanced
74,*,31,2294,advanced
61,*,45,2745,advanced
23,*,81,1863,advanced
40,*,37,1480,advanced
36,*,84,3024,advanced
57,*,22,1254,advanced
19,*,63,1197,advanced
46,*,27,1242,advanced
25,*,90,2250,advanced
50,*,40,2000,advanced
11,*,38,418,advanced
15,*,94,1410,advanced
11,*,72,792,advanced
12,*,33,396,advanced
99,*,23,2277,advanced
85,*,28,2380,advanced
34,*,52,1768,advanced
57,*,73,4161,advanced
66,*,31,2046,advanced
51,*,46,2346,advanced
52,*,60,3120,advanced
61,*,34,2074,advanced
74,*,30,2220,advanced
33,*,66,2178,advanced
46,*,62,2852,advanced
88,*,49,4312,advanced
42,*,90,3780,advanced
22,*,35,770,advanced
53,*,18,954,advanced
53,*,67,3551,advanced
20,*,87,1740,advanced
46,*,68,3128,advanced
58,*,65,3770,advanced
44,*,48,2112,advanced
67,*,20,1340,advanced
43,*,84,3612,advanced
62,*,86,5332,advanced
90,*,44,3960,advanced
90,*,38,3420,advanced
15,*,20,300,advanced
76,*,37,2812,advanced
13,*,37,481,advanced
71,*,37,2627,advanced
77,*,70,5390,advanced
58,*,96,5568,advanced
43,*,71,3053,advanced
57,*,90,5130,advanced
90,*,37,3330,advanced
30,*,30,900,advanced
80,*,12,960,advanced
47,*,84,3948,advanced
44,*,71,3124,advanced
54,*,18,972,advanced
54,*,74,3996,advanced
25,*,73,1825,advanced
71,*,24,1704,advanced
23,*,64,1472,advanced
29,*,95,2755,advanced
52,*,85,4420,advanced
95,*,22,2090,advanced
49,*,21,1029,advanced
99,*,30,2970,advanced
90,*,28,2520,advanced
16,*,19,304,advanced
89,*,60,5340,advanced
37,*,93,3441,advanced
71,*,97,6887,advanced
42,*,78,3276,advanced
32,*,60,1920,advanced
70,*,75,5250,advanced
56,*,21,1176,advanced
24,*,35,840,advanced
73,*,15,1095,advanced
15,*,72,1080,advanced
90,*,14,1260,advanced
14,*,19,266,advanced
44,*,70,3080,advanced
79,*,50,3950,advanced
29,*,24,696,advanced
64,*,26,1664,advanced
42,*,57,2394,advanced
25,*,32,800,advanced
98,*,61,5978,advanced
31,*,91,2821,advanced
25,*,53,1325,advanced
50,*,81,4050,advanced
81,*,66,5346,advanced
23,*,29,667,advanced
25,*,66,1650,advanced
43,*,34,1462,advanced
26,*,33,858,advanced
89,*,12,1068,advanced
68,*,63,4284,advanced
31,*,59,1829,advanced
74,*,50,3700,advanced
17,*,61,1037,advanced
15,*,65,975,advanced
33,*,89,2937,advanced
44,*,21,924,advanced
32,*,82,2624,advanced
14,*,83,1162,advanced
27,*,74,1998,advanced
84,*,11,924,advanced
28,*,17,476,advanced
82,*,75,6150,advanced
43,*,85,3655,advanced
30,*,55,1650,advanced
33,*,91,3003,advanced
79,*,12,948,advanced
23,*,70,1610,advanced
18,*,88,1584,advanced
34,*,25,850,advanced
37,*,53,1961,advanced
87,*,14,1218,advanced
77,*,15,1155,advanced
72,*,39,2808,advanced
45,*,26,1170,advanced
16,*,15,240,advanced
29,*,13,377,advanced
57,*,87,4959,advanced
42,*,26,1092,advanced
94,*,65,6110,advanced
32,*,92,2944,advanced
50,*,45,2250,advanced
17,*,96,1632,advanced
63,*,77,4851,advanced
16,*,25,400,advanced
77,*,63,4851,advanced
47,*,51,2397,advanced
43,*,38,1634,advanced
18,*,50,900,advanced
16,*,26,416,advanced
73,*,30,2190,advanced
28,*,44,1232,advanced
27,*,19,513,advanced
15,*,33,495,advanced
23,*,60,1380,advanced
97,*,96,9312,advanced
33,*,13,429,advanced
72,*,37,2664,advanced
30,*,25,750,advanced
50,*,58,2900,advanced
72,*,91,6552,advanced
70,*,80,5600,advanced
78,*,73,5694,advanced
76,*,41,3116,advanced
19,*,39,741,advanced
87,*,55,4785,advanced
24,*,16,384,advanced
11,*,92,1012,advanced
58,*,25,1450,advanced
28,*,71,1988,advanced
73,*,22,1606,advanced
83,*,56,4648,advanced
64,*,98,6272,advanced
50,*,44,2200,advanced
14,*,38,532,advanced
27,*,47,1269,advanced
74,*,87,6438,advanced
25,*,49,1225,advanced
14,*,65,910,advanced
82,*,51,4182,advanced
80,*,33,2640,advanced
76,*,46,3496,advanced
68,*,38,2584,advanced
41,*,47,1927,advanced
31,*,61,1891,advanced
74,*,72,5328,advanced
72,*,51,3672,advanced
60,*,31,1860,advanced
43,*,53,2279,advanced
79,*,21,1659,advanced
54,*,81,4374,advanced
26,*,44,1144,advanced
38,*,57,2166,advanced
88,*,59,5192,advanced
94,*,51,4794,advanced
11,*,91,1001,advanced
25,*,93,2325,advanced
53,*,79,4187,advanced
11,*,58,638,advanced
20,*,74,1480,advanced
87,*,64,5568,advanced
57,*,83,4731,advanced
43,*,72,3096,advanced
39,*,35,1365,advanced
69,*,16,1104,advanced
60,*,13,780,advanced
94,*,21,1974,advanced
53,*,76,4028,advanced
38,*,28,1064,advanced
14,*,47,658,advanced
43,*,14,602,advanced
89,*,65,5785,advanced
95,*,17,1615,advanced
58,*,88,5104,advanced
22,*,51,1122,advanced
97,*,76,7372,advanced
22,*,16,352,advanced
40,*,18,720,advanced
15,*,26,390,advanced
53,*,92,4876,advanced
69,*,87,6003,advanced
29,*,52,1508,advanced
13,*,79,1027,advanced
56,*,62,3472,advanced
57,*,20,1140,advanced
44,*,80,3520,advanced
18,*,27,486,advanced
19,*,27,513,advanced
97,*,18,1746,advanced
54,*,44,2376,advanced
73,*,44,3212,advanced
52,*,57,2964,advanced
82,*,97,7954,advanced
55,*,89,4895,advanced
72,*,72,5184,advanced
29,*,67,1943,advanced
32,*,26,832,advanced
49,*,87,4263,advanced
75,*,24,1800,advanced
72,*,20,1440,advanced
62,*,35,2170,advanced
75,*,43,3225,advanced
92,*,69,6348,advanced
39,*,58,2262,advanced
95,*,62,5890,advanced
97,*,48,4656,advanced
68,*,62,4216,advanced
53,*,77,4081,advanced
85,*,16,1360,advanced
40,*,35,1400,advanced
21,*,84,1764,advanced
35,*,86,3010,advanced
91,*,25,2275,advanced
63,*,62,3906,advanced
81,*,55,4455,advanced
47,*,44,2068,advanced
38,*,13,494,advanced
45,*,40,1800,advanced
11,*,28,308,advanced
59,*,41,2419,advanced
26,*,41,1066,advanced
23,*,24,552,advanced
54,*,77,4158,advanced
99,*,62,6138,advanced
75,*,34,2550,advanced
94,*,49,4606,advanced
87,*,96,8352,advanced
16,*,29,464,advanced
71,*,51,3621,advanced
14,*,15,210,advanced
55,*,23,1265,advanced
27,*,17,459,advanced
32,*,30,960,advanced
56,*,78,4368,advanced
56,*,36,2016,advanced
48,*,31,1488,advanced
45,*,29,1305,advanced
36,*,96,3456,advanced
20,*,40,800,advanced
62,*,69,4278,advanced
36,*,28,1008,advanced
89,*,23,2047,advanced
15,*,63,945,advanced
20,*,71,1420,advanced
19,*,17,323,advanced
36,*,69,2484,advanced
36,*,31,1116,advanced
47,*,78,3666,advanced
11,*,25,275,advanced
77,*,77,5929,advanced
31,*,45,1395,advanced
44,*,83,3652,advanced
25,*,76,1900,advanced
81,*,75,6075,advanced
42,*,80,3360,advanced
82,*,47,3854,advanced
41,*,95,3895,advanced
34,*,29,986,advanced
36,*,50,1800,advanced
87,*,65,5655,advanced
52,*,91,4732,advanced
19,*,15,285,advanced
61,*,15,915,advanced
37,*,78,2886,advanced
75,*,67,5025,advanced
93,*,53,4929,advanced
13,*,57,741,advanced
75,*,61,4575,advanced
71,*,23,1633,advanced
38,*,36,1368,advanced
97,*,82,7954,advanced
23,*,71,1633,advanced
60,*,22,1320,advanced
30,*,20,600,advanced
72,*,52,3744,advanced
31,*,34,1054,advanced
61,*,21,1281,advanced
41,*,53,2173,advanced
90,*,23,2070,advanced
61,*,59,3599,advanced
54,*,71,3834,advanced
64,*,97,6208,advanced
77,*,42,3234,advanced
61,*,33,2013,advanced
81,*,74,5994,advanced
83,*,58,4814,advanced
69,*,44,3036,advanced
50,*,43,2150,advanced
48,*,26,1248,advanced
77,*,29,2233,advanced
91,*,77,7007,advanced
61,*,35,2135,advanced
41,*,99,4059,advanced
39,*,95,3705,advanced
97,*,79,7663,advanced
35,*,51,1785,advanced
90,*,18,1620,advanced
66,*,25,1650,advanced
16,*,41,656,advanced
36,*,55,1980,advanced
61,*,67,4087,advanced
28,*,67,1876,advanced
75,*,70,5250,advanced
27,*,49,1323,advanced
31,*,50,1550,advanced
94,*,26,2444,advanced
16,*,83,1328,advanced
99,*,66,6534,advanced
64,*,13,832,advanced
61,*,52,3172,advanced
62,*,52,3224,advanced
62,*,14,868,advanced
15,*,43,645,advanced
89,*,45,4005,advanced
52,*,17,884,advanced
47,*,49,2303,advanced
88,*,20,1760,advanced
20,*,94,1880,advanced
80,*,49,3920,advanced
16,*,42,672,advanced
29,*,23,667,advanced
15,*,91,1365,advanced
97,*,73,7081,advanced
65,*,95,6175,advanced
50,*,17,850,advanced
29,*,55,1595,advanced
42,*,93,3906,advanced
71,*,98,6958,advanced
90,*,76,6840,advanced
38,*,82,3116,advanced
24,*,99,2376,advanced
85,*,40,3400,advanced
99,*,53,5247,advanced
15,*,85,1275,advanced
76,*,33,2508,advanced
48,*,70,3360,advanced
50,*,71,3550,advanced
83,*,28,2324,advanced
90,*,90,8100,advanced
58,*,34,1972,advanced
19,*,87,1653,advanced
40,*,58,2320,advanced
95,*,95,9025,advanced
44,*,45,1980,advanced
54,*,88,4752,advanced
41,*,85,3485,advanced
72,*,83,5976,advanced
19,*,50,950,advanced
13,*,20,260,advanced
79,*,11,869,advanced
68,*,86,5848,advanced
17,*,66,1122,advanced
47,*,80,3760,advanced
24,*,59,1416,advanced
30,*,49,1470,advanced
26,*,77,2002,advanced
84,*,46,3864,advanced
20,*,67,1340,advanced
92,*,51,4692,advanced
63,*,46,2898,advanced
79,*,61,4819,advanced
64,*,66,4224,advanced
24,*,80,1920,advanced
77,*,75,5775,advanced
19,*,92,1748,advanced
26,*,28,728,advanced
95,*,41,3895,advanced
72,*,35,2520,advanced
29,*,73,2117,advanced
49,*,89,4361,advanced
73,*,18,1314,advanced
49,*,22,1078,advanced
14,*,14,196,advanced
63,*,45,2835,advanced
16,*,32,512,advanced
24,*,12,288,advanced
39,*,63,2457,advanced
39,*,61,2379,advanced
60,*,68,4080,advanced
51,*,18,918,advanced
28,*,50,1400,advanced
62,*,43,2666,advanced
37,*,89,3293,advanced
44,*,53,2332,advanced
35,*,80,2800,advanced
44,*,40,1760,advanced
39,*,99,3861,advanced
83,*,44,3652,advanced
67,*,22,1474,advanced
83,*,79,6557,advanced
56,*,85,4760,advanced
93,*,54,5022,advanced
85,*,27,2295,advanced
68,*,53,3604,advanced
89,*,32,2848,advanced
49,*,62,3038,advanced
97,*,91,8827,advanced
41,*,83,3403,advanced
77,*,31,2387,advanced
83,*,57,4731,advanced
52,*,18,936,advanced
93,*,81,7533,advanced
75,*,57,4275,advanced
11,*,88,968,advanced
24,*,92,2208,advanced
85,*,55,4675,advanced
92,*,93,8556,advanced
84,*,78,6552,advanced
91,*,67,6097,advanced
70,*,46,3220,advanced
51,*,70,3570,advanced
30,*,48,1440,advanced
15,*,67,1005,advanced
58,*,90,5220,advanced
81,*,43,3483,advanced
84,*,89,7476,advanced
72,*,17,1224,advanced
38,*,98,3724,advanced
34,*,53,1802,advanced
73,*,86,6278,advanced
43,*,99,4257,advanced
72,*,58,4176,advanced
25,*,58,1450,advanced
28,*,33,924,advanced
93,*,29,2697,advanced
65,*,54,3510,advanced
23,*,21,483,advanced
60,*,95,5700,advanced
51,*,53,2703,advanced
73,*,70,5110,advanced
15,*,80,1200,advanced
85,*,76,6460,advanced
70,*,14,980,advanced
26,*,52,1352,advanced
49,*,34,1666,advanced
65,*,11,715,advanced
57,*,85,4845,advanced
33,*,29,957,advanced
36,*,37,1332,advanced
41,*,96,3936,advanced
94,*,80,7520,advanced
30,*,52,1560,advanced
33,*,96,3168,advanced
66,*,57,3762,advanced
29,*,84,2436,advanced
49,*,45,2205,advanced
51,*,75,3825,advanced
84,*,26,2184,advanced
59,*,86,5074,advanced
42,*,42,1764,advanced
30,*,62,1860,advanced
74,*,92,6808,advanced
44,*,78,3432,advanced
72,*,87,6264,advanced
93,*,82,7626,advanced
39,*,65,2535,advanced
42,*,27,1134,advanced
81,*,37,2997,advanced
88,*,22,1936,advanced
40,*,99,3960,advanced
71,*,68,4828,advanced
33,*,52,1716,advanced
78,*,85,6630,advanced
22,*,56,1232,advanced
91,*,14,1274,advanced
28,*,91,2548,advanced
14,*,84,1176,advanced
64,*,49,3136,advanced
25,*,61,1525,advanced
70,*,54,3780,advanced
15,*,47,705,advanced
91,*,76,6916,advanced
79,*,29,2291,advanced
68,*,12,816,advanced
58,*,16,928,advanced
25,*,78,1950,advanced
70,*,42,2940,advanced
59,*,82,4838,advanced
98,*,44,4312,advanced
82,*,35,2870,advanced
55,*,54,2970,advanced
15,*,12,180,advanced
26,*,42,1092,advanced
29,*,43,1247,advanced
77,*,41,3157,advanced
39,*,98,3822,advanced
27,*,75,2025,advanced
72,*,55,3960,advanced
68,*,51,3468,advanced
92,*,65,5980,advanced
22,*,96,2112,advanced
19,*,83,1577,advanced
13,*,24,312,advanced
87,*,34,2958,advanced
84,*,87,7308,advanced
57,*,11,627,advanced
27,*,12,324,advanced
73,*,68,4964,advanced
60,*,12,720,advanced
69,*,78,5382,advanced
37,*,79,2923,advanced
33,*,77,2541,advanced
50,*,48,2400,advanced
85,*,44,3740,advanced
68,*,25,1700,advanced
31,*,40,1240,advanced
23,*,38,874,advanced
14,*,98,1372,advanced
97,*,29,2813,advanced
36,*,15,540,advanced
43,*,82,3526,advanced
38,*,34,1292,advanced
99,*,46,4554,advanced
64,*,86,5504,advanced
22,*,90,1980,advanced
35,*,67,2345,advanced
88,*,46,4048,advanced
68,*,99,6732,advanced
90,*,62,5580,advanced
78,*,48,3744,advanced
45,*,34,1530,advanced
97,*,11,1067,advanced
59,*,51,3009,advanced
37,*,82,3034,advanced
63,*,53,3339,advanced
39,*,23,897,advanced
91,*,13,1183,advanced
58,*,37,2146,advanced
44,*,14,616,advanced
89,*,50,4450,advanced
23,*,45,1035,advanced
13,*,63,819,advanced
27,*,83,2241,advanced
99,*,76,7524,advanced
70,*,64,4480,advanced
45,*,47,2115,advanced
66,*,62,4092,advanced
38,*,32,1216,advanced
74,*,85,6290,advanced
48,*,51,2448,advanced
34,*,61,2074,advanced
44,*,59,2596,advanced
25,*,30,750,advanced
55,*,86,4730,advanced
18,*,93,1674,advanced
99,*,60,5940,advanced
51,*,49,2499,advanced
69,*,62,4278,advanced
14,*,52,728,advanced
52,*,93,4836,advanced
32,*,23,736,advanced
74,*,51,3774,advanced
21,*,65,1365,advanced
47,*,96,4512,advanced
70,*,21,1470,advanced
73,*,72,5256,advanced
64,*,57,3648,advanced
70,*,61,4270,advanced
11,*,59,649,advanced
23,*,40,920,advanced
79,*,67,5293,advanced
89,*,58,5162,advanced
56,*,28,1568,advanced
88,*,38,3344,advanced
23,*,61,1403,advanced
12,*,66,792,advanced
70,*,73,5110,advanced
71,*,70,4970,advanced
65,*,81,5265,advanced
22,*,98,2156,advanced
67,*,41,2747,advanced
94,*,62,5828,advanced
26,*,30,780,advanced
18,*,14,252,advanced
35,*,13,455,advanced
98,*,38,3724,advanced
88,*,41,3608,advanced
23,*,91,2093,advanced
53,*,96,5088,advanced
24,*,38,912,advanced
86,*,76,6536,advanced
28,*,92,2576,advanced
94,*,78,7332,advanced
77,*,61,4697,advanced
97,*,36,3492,advanced
16,*,67,1072,advanced
89,*,53,4717,advanced
42,*,76,3192,advanced
55,*,56,3080,advanced
37,*,68,2516,advanced
35,*,73,2555,advanced
35,*,85,2975,advanced
17,*,15,255,advanced
55,*,45,2475,advanced
91,*,90,8190,advanced
67,*,97,6499,advanced
65,*,85,5525,advanced
47,*,27,1269,advanced
71,*,73,5183,advanced
62,*,73,4526,advanced
