variable1,operator,variable2,result,difficulty_level
876,|,4,219.0,advanced
296,|,2,148.0,advanced
430,|,2,215.0,advanced
190,|,5,38.0,advanced
408,|,8,51.0,advanced
724,|,4,181.0,advanced
240,|,2,120.0,advanced
462,|,2,231.0,advanced
824,|,4,206.0,advanced
915,|,5,183.0,advanced
220,|,4,55.0,advanced
770,|,7,110.0,advanced
816,|,3,272.0,advanced
328,|,4,82.0,advanced
658,|,7,94.0,advanced
396,|,6,66.0,advanced
315,|,3,105.0,advanced
468,|,9,52.0,advanced
888,|,4,222.0,advanced
315,|,7,45.0,advanced
189,|,3,63.0,advanced
892,|,2,446.0,advanced
750,|,5,150.0,advanced
608,|,8,76.0,advanced
648,|,9,72.0,advanced
588,|,4,147.0,advanced
464,|,8,58.0,advanced
441,|,9,49.0,advanced
396,|,4,99.0,advanced
875,|,7,125.0,advanced
928,|,2,464.0,advanced
133,|,7,19.0,advanced
174,|,3,58.0,advanced
684,|,9,76.0,advanced
685,|,5,137.0,advanced
728,|,8,91.0,advanced
920,|,4,230.0,advanced
348,|,6,58.0,advanced
185,|,5,37.0,advanced
106,|,2,53.0,advanced
900,|,4,225.0,advanced
648,|,3,216.0,advanced
639,|,3,213.0,advanced
642,|,6,107.0,advanced
522,|,6,87.0,advanced
535,|,5,107.0,advanced
636,|,6,106.0,advanced
785,|,5,157.0,advanced
248,|,2,124.0,advanced
260,|,4,65.0,advanced
630,|,3,210.0,advanced
654,|,6,109.0,advanced
483,|,7,69.0,advanced
228,|,6,38.0,advanced
120,|,4,30.0,advanced
688,|,8,86.0,advanced
690,|,3,230.0,advanced
345,|,3,115.0,advanced
306,|,2,153.0,advanced
502,|,2,251.0,advanced
740,|,4,185.0,advanced
882,|,3,294.0,advanced
444,|,4,111.0,advanced
987,|,3,329.0,advanced
780,|,2,390.0,advanced
453,|,3,151.0,advanced
414,|,2,207.0,advanced
672,|,2,336.0,advanced
553,|,7,79.0,advanced
489,|,3,163.0,advanced
693,|,9,77.0,advanced
912,|,4,228.0,advanced
336,|,4,84.0,advanced
910,|,5,182.0,advanced
398,|,2,199.0,advanced
984,|,8,123.0,advanced
882,|,9,98.0,advanced
741,|,3,247.0,advanced
945,|,5,189.0,advanced
876,|,2,438.0,advanced
516,|,4,129.0,advanced
866,|,2,433.0,advanced
